model,category,subcategory,total_phrases,true_positives,false_positives,detections_made,tpr,fpr,detection_rate
large,all,all,80,62,8,70,0.775,0.1,0.875
large,condition,echo,14,13,1,14,0.9285714285714286,0.07142857142857142,1.0
large,condition,fast,14,10,4,14,0.7142857142857143,0.2857142857142857,1.0
large,condition,noise,24,14,0,14,0.5833333333333334,0.0,0.5833333333333334
large,condition,original,14,13,1,14,0.9285714285714286,0.07142857142857142,1.0
large,condition,slow,14,12,2,14,0.8571428571428571,0.14285714285714285,1.0
large,speech_category,accent,15,11,3,14,0.7333333333333333,0.2,0.9333333333333333
large,speech_category,emotion,15,9,3,12,0.6,0.2,0.8
large,speech_category,standard,50,42,2,44,0.84,0.04,0.88
large,phrase,bags,10,10,0,10,1.0,0.0,1.0
large,phrase,cheese,45,33,5,38,0.7333333333333333,0.1111111111111111,0.8444444444444444
large,phrase,likes,5,3,1,4,0.6,0.2,0.8
large,phrase,reach,10,10,0,10,1.0,0.0,1.0
large,phrase,try,5,2,2,4,0.4,0.4,0.8
large,phrase,worried,5,4,0,4,0.8,0.0,0.8
large,phrase_position,beginning,44,35,3,38,0.7954545454545454,0.06818181818181818,0.8636363636363636
large,phrase_position,end,14,10,3,13,0.7142857142857143,0.21428571428571427,0.9285714285714286
large,phrase_position,middle,22,17,2,19,0.7727272727272727,0.09090909090909091,0.8636363636363636
tiny,all,all,80,59,0,59,0.7375,0.0,0.7375
tiny,condition,echo,14,14,0,14,1.0,0.0,1.0
tiny,condition,fast,14,10,0,10,0.7142857142857143,0.0,0.7142857142857143
tiny,condition,noise,24,8,0,8,0.3333333333333333,0.0,0.3333333333333333
tiny,condition,original,14,14,0,14,1.0,0.0,1.0
tiny,condition,slow,14,13,0,13,0.9285714285714286,0.0,0.9285714285714286
tiny,speech_category,accent,15,11,0,11,0.7333333333333333,0.0,0.7333333333333333
tiny,speech_category,emotion,15,11,0,11,0.7333333333333333,0.0,0.7333333333333333
tiny,speech_category,standard,50,37,0,37,0.74,0.0,0.74
tiny,phrase,bags,10,10,0,10,1.0,0.0,1.0
tiny,phrase,cheese,45,28,0,28,0.6222222222222222,0.0,0.6222222222222222
tiny,phrase,likes,5,4,0,4,0.8,0.0,0.8
tiny,phrase,reach,10,10,0,10,1.0,0.0,1.0
tiny,phrase,try,5,4,0,4,0.8,0.0,0.8
tiny,phrase,worried,5,3,0,3,0.6,0.0,0.6
tiny,phrase_position,beginning,44,36,0,36,0.8181818181818182,0.0,0.8181818181818182
tiny,phrase_position,end,14,11,0,11,0.7857142857142857,0.0,0.7857142857142857
tiny,phrase_position,middle,22,12,0,12,0.5454545454545454,0.0,0.5454545454545454
